ID,FORMULAS_WITHOUT_COFACTORS,FORMULAS_ENCODED
rxn00157,accoa + for <=> coa + pyr,C21 + C45 <=> C9 + C19
rxn00159,nad + mal-L <=> nadh + co2 + pyr,C2 + C126 <=> C3 + C10 + C19
rxn00160,nad + mal-D <=> nadh + co2 + pyr,C2 + C365 <=> C3 + C10 + C19
rxn00161,nadp + mal-L <=> nadph + co2 + pyr,C5 + C126 <=> C4 + C10 + C19
rxn00162,oaa <=> co2 + pyr,C31 <=> C10 + C19
rxn00163,2-Butynedioicacid <=> co2 + pyr,C1772 <=> C10 + C19
rxn00164,enol-Oxaloacetate <=> co2 + pyr,C2074 <=> C10 + C19
rxn00165,ser-L <=> nh4 + pyr,C51 <=> C12 + C19
rxn00166,ser-D <=> nh4 + pyr,C516 <=> C12 + C19
rxn00168,pyr <=> co2 + acald,C19 <=> C10 + C68
rxn00170,accoa <=> coa + ac,C21 <=> C9 + C28
rxn00171,nad + coa + acald <=> nadh + accoa,C2 + C9 + C68 <=> C3 + C21
rxn00172,coa + ac <=> pi + accoa,C9 + C28 <=> C8 + C21
rxn00173,pi + accoa <=> coa + actp,C8 + C21 <=> C9 + C187
rxn00174,malcoa <=> co2 + accoa,C67 <=> C10 + C21
rxn00176,coa + Acetyladenylate <=> accoa,C9 + C3028 <=> C21
rxn00177,L-Citramalyl-CoA <=> pyr + accoa,C691 <=> C19 + C21
rxn00179,glu-L <=> glu5p,C22 <=> C1787
rxn00181,glu-L <=> L-Glutamyl1-phosphate,C22 <=> C2885
rxn00182,nad + glu-L <=> nadh + nh4 + akg,C2 + C22 <=> C3 + C12 + C23
rxn00184,nadp + glu-L <=> nadph + nh4 + akg,C5 + C22 <=> C4 + C12 + C23
rxn00185,glu-L <=> nh4 + akg,C22 <=> C12 + C23
rxn00187,nh4 + glu-L <=> pi + gln-L,C12 + C22 <=> C8 + C50
rxn00189,gln-L <=> nh4 + glu-L,C50 <=> C12 + C22
rxn00191,akg + ala-L <=> pyr + glu-L,C23 + C34 <=> C19 + C22
rxn00192,accoa + glu-L <=> coa + acglu,C21 + C22 <=> C9 + C450
rxn00193,glu-L <=> glu-D,C22 <=> C179
rxn00194,glu-L <=> co2 + 4abut,C22 <=> C10 + C265
rxn00195,L-threo-3-Methylaspartate <=> glu-L,C1926 <=> C22
rxn00197,nadp + coa + akg <=> nadph + co2 + succoa,C5 + C9 + C23 <=> C4 + C10 + C75
rxn00198,nadp + icit <=> nadph + co2 + akg,C5 + C246 <=> C4 + C10 + C23
rxn00199,oxasucc <=> co2 + akg,C2675 <=> C10 + C23
rxn00200,2-Oxoglutaramate <=> nh4 + akg,C649 <=> C12 + C23
rxn00202,coa + hcit <=> accoa + akg,C9 + C858 <=> C21 + C23
rxn00203,akg <=> co2 + sucsal,C23 <=> C10 + C190
rxn00208,pyam5p <=> nh4 + pydx5p,C466 <=> C12 + C15
rxn00209,pdx5p <=> pydx5p,C451 <=> C15
rxn00210,glu-D <=> nh4 + akg,C179 <=> C12 + C23
rxn00214,udpg <=> udpgal,C25 <=> C41
rxn00215,udpg <=> UDP-4-oxo-6-deoxy-D-glucose,C25 <=> C2127
rxn00216,glc-D <=> g6p,C26 <=> C76
rxn00217,nad + glc-D <=> nadh + g15lac,C2 + C26 <=> C3 + C165
rxn00218,"nadp + glc-D <=> nadph + D-Glucono-1,4-lactone",C5 + C26 <=> C4 + C1701
rxn00219,glc-D <=> 2-Dehydro-D-glucose,C26 <=> C1542
rxn00220,g6p <=> pi + glc-D,C76 <=> C8 + C26
rxn00221,g1p <=> pi + glc-D,C86 <=> C8 + C26
rxn00223,glc-D <=> fru,C26 <=> C79
rxn00225,ac <=> actp,C28 <=> C187
rxn00227,actp <=> pi + ac,C187 <=> C8 + C28
rxn00228,Fosfonet <=> pi + ac,C2860 <=> C8 + C28
rxn00229,lac-L <=> co2 + ac,C154 <=> C10 + C28
rxn00231,ad <=> nh4 + ac,C3182 <=> C12 + C28
rxn00233,Acetylpyruvate <=> pyr + ac,C1266 <=> C19 + C28
rxn00234,S-Citramalate <=> pyr + ac,C1466 <=> C19 + C28
rxn00235,acglc-D <=> glc-D + ac,C1485 <=> C26 + C28
rxn00243,GDP-glucose <=> glc-D,C298 <=> C26
rxn00244,oaa <=> ac + oxa,C31 <=> C28 + C174
rxn00245,tartr-L <=> oaa,C623 <=> C31
rxn00247,oaa <=> co2 + pep,C31 <=> C10 + C58
rxn00248,nad + mal-L <=> nadh + oaa,C2 + C126 <=> C3 + C31
rxn00249,nadp + mal-L <=> nadph + oaa,C5 + C126 <=> C4 + C31
rxn00250,pyr + hco3 <=> pi + oaa,C19 + C231 <=> C8 + C31
rxn00253,erythro-3-Hydroxy-L-aspartate <=> nh4 + oaa,C2067 <=> C12 + C31
rxn00254,2-Oxosuccinamate <=> nh4 + oaa,C1368 <=> C12 + C31
rxn00255,4-Carboxy-4-hydroxy-2-oxoadipate <=> pyr + oaa,C2141 <=> C19 + C31
rxn00256,accoa + oaa <=> coa + cit,C21 + C31 <=> C9 + C133
rxn00257,coa + cit <=> pi + accoa + oaa,C9 + C133 <=> C8 + C21 + C31
rxn00258,pyr + malcoa <=> accoa + oaa,C19 + C67 <=> C21 + C31
rxn00259,(3S)-Citryl-CoA <=> accoa + oaa,C419 <=> C21 + C31
rxn00260,akg + asp-L <=> glu-L + oaa,C23 + C40 <=> C22 + C31
rxn00262,asp-L <=> nh4 + oaa,C40 <=> C12 + C31
rxn00263,cll_345 <=> nh4 + oaa,C303 <=> C12 + C31
rxn00264,mal-L <=> oaa,C126 <=> C31
rxn00265,cit <=> ac + oaa,C133 <=> C28 + C31
rxn00266,enol-Oxaloacetate <=> oaa,C2074 <=> C31
rxn00268,nad + gly <=> nadh + nh4 + glx,C2 + C32 <=> C3 + C12 + C39
rxn00269,gly <=> nh4 + glx,C32 <=> C12 + C39
rxn00270,amet + gly <=> ahcys + sarcs,C16 + C32 <=> C18 + C176
rxn00271,nad + N-(Carboxymethyl)-D-alanine <=> nadh + pyr + gly,C2 + C2006 <=> C3 + C19 + C32
rxn00272,ala-L + glx <=> pyr + gly,C34 + C39 <=> C19 + C32
rxn00273,accoa + gly <=> coa + 2aobut,C21 + C32 <=> C9 + C1873
rxn00275,akg + gly <=> glu-L + glx,C23 + C32 <=> C22 + C39
rxn00276,oaa + gly <=> glx + asp-L,C31 + C32 <=> C39 + C40
rxn00277,gly <=> cyan,C32 <=> C145
rxn00278,nad + ala-L <=> nadh + nh4 + pyr,C2 + C34 <=> C3 + C12 + C19
rxn00279,asp-L <=> co2 + ala-L,C40 <=> C10 + C34
rxn00280,nad + Alanopine <=> nadh + pyr + ala-L,C2 + C1749 <=> C3 + C19 + C34
rxn00281,accoa + ala-L <=> coa + 2-Amino-4-oxopentanoate,C21 + C34 <=> C9 + C1804
rxn00282,oaa + ala-L <=> pyr + asp-L,C31 + C34 <=> C19 + C40
rxn00283,ala-L <=> ala-D,C34 <=> C114
rxn00284,nadh + fum <=> nad + succ,C3 + C103 <=> C2 + C35
rxn00285,coa + succ <=> pi + succoa,C9 + C35 <=> C8 + C75
rxn00286,succoa + mal-L <=> succ + malylcoa,C75 + C126 <=> C35 + C2234
rxn00287,succoa <=> coa + succ,C75 <=> C9 + C35
rxn00288,fad + succ <=> fum + fadh2,C14 + C35 <=> C103 + C907
rxn00289,micit <=> pyr + succ,C2346 <=> C19 + C35
rxn00290,succoa + acac <=> succ + aacoa,C75 + C137 <=> C35 + C263
rxn00291,sucglu <=> glu-L + succ,C2990 <=> C22 + C35
rxn00292,uacgam <=> acmana,C36 <=> C465
rxn00295,uacgam <=> uacgala,C36 <=> C169
rxn00297,uacgam <=> uacmam,C36 <=> C802
rxn00304,pyr <=> pep,C19 <=> C58
rxn00305,oaa <=> co2 + pep,C31 <=> C10 + C58
rxn00306,coa + succ <=> pi + succoa,C9 + C35 <=> C8 + C75
rxn00308,nad + lys-L <=> nadh + nh4 + 1pipdn2c,C2 + C38 <=> C3 + C12 + C861
rxn00309,nad + lys-L <=> nadh + nh4 + Allysine,C2 + C38 <=> C3 + C12 + C956
rxn00310,lys-L <=> nh4 + 6a2ohxnt,C38 <=> C12 + C1767
rxn00311,nadph + lys-L <=> nadp + N6-Hydroxy-L-lysine,C4 + C38 <=> C5 + C702
rxn00312,lys-L <=> co2 + 5apentam,C38 <=> C10 + C679
rxn00313,26dap-M <=> co2 + lys-L,C487 <=> C10 + C38
rxn00314,nadp + Lysopine <=> nadph + pyr + lys-L,C5 + C2094 <=> C4 + C19 + C38
rxn00315,pyr + lys-L <=> ala-L + Allysine,C19 + C38 <=> C34 + C956
rxn00316,accoa + lys-L <=> coa + N6-Acetyl-L-lysine,C21 + C38 <=> C9 + C1522
rxn00317,akg + lys-L <=> glu-L + Allysine,C23 + C38 <=> C22 + C956
rxn00318,N6-Acetyl-L-lysine <=> ac + lys-L,C1522 <=> C28 + C38
rxn00319,lys-L <=> nh4 + Lpipecol,C38 <=> C12 + C306
rxn00320,lys-L <=> lys-D,C38 <=> C515
rxn00321,lys-L <=> 36dahx,C38 <=> C782
rxn00322,lys-L <=> co2 + 15dap,C38 <=> C10 + C1035
rxn00323,"L-Lysine1,6-lactam <=> lys-L",C1572 <=> C38
rxn00324,nadp + glyclt <=> nadph + glx,C5 + C135 <=> C4 + C39
rxn00325,glx <=> oxa,C39 <=> C174
rxn00326,nadp + coa + glx <=> nadph + oxalcoa,C5 + C9 + C39 <=> C4 + C248
rxn00328,4h2oglt <=> pyr + glx,C773 <=> C19 + C39
rxn00330,accoa + glx <=> coa + mal-L,C21 + C39 <=> C9 + C126
rxn00331,malylcoa <=> accoa + glx,C2234 <=> C21 + C39
rxn00332,akg + glx <=> co2 + 2-Hydroxy-3-oxoadipate,C23 + C39 <=> C10 + C1753
rxn00333,glyclt <=> glx,C135 <=> C39
rxn00334,3-Oxalomalate <=> oaa + glx,C1204 <=> C31 + C39
rxn00335,erythro-3-Hydroxy-L-aspartate <=> gly + glx,C2067 <=> C32 + C39
rxn00336,icit <=> succ + glx,C246 <=> C35 + C39
rxn00337,asp-L <=> 4pasp,C40 <=> C1689
rxn00338,asp-L <=> iasp,C40 <=> C2940
rxn00339,nh4 + asp-L <=> pi + asn-L,C12 + C40 <=> C8 + C128
rxn00342,asn-L <=> nh4 + asp-L,C128 <=> C12 + C40
rxn00344,accoa + asp-L <=> coa + N-Acetyl-L-aspartate,C21 + C40 <=> C9 + C712
rxn00345,N-Acetyl-L-aspartate <=> ac + asp-L,C712 <=> C28 + C40
rxn00346,asp-L <=> co2 + ala-B,C40 <=> C10 + C82
rxn00347,asp-L <=> nh4 + fum,C40 <=> C12 + C103
rxn00348,asp-L <=> cll_345,C40 <=> C303
rxn00350,L-glutathione <=> glu-L + cgly,C15791 <=> C22 + C932
rxn00351,gly + glucys <=> pi + L-glutathione,C32 + C477 <=> C8 + C15791
rxn00352,S-Succinylglutathione <=> succ + L-glutathione,C1732 <=> C35 + C15791
rxn00357,uacgam + udpgal <=> UDP-N-acetyl-6-(D-galactose-1-phospho)-D-glucosamine,C36 + C41 <=> C2425
rxn00358,udpgal <=> udpgalfur,C41 <=> C1981
rxn00370,for <=> Formylphosphate,C45 <=> C1385
rxn00371,nad + for <=> nadh + co2,C2 + C45 <=> C3 + C10
rxn00372,forcoa <=> coa + for,C555 <=> C9 + C45
rxn00373,oxa <=> co2 + for,C174 <=> C10 + C45
rxn00374,frmd <=> nh4 + for,C358 <=> C12 + C45
rxn00375,Nforglu <=> glu-L + for,C715 <=> C22 + C45
rxn00376,N-Formyl-L-aspartate <=> asp-L + for,C714 <=> C40 + C45
rxn00377,fglut-S <=> for + L-glutathione,C704 <=> C45 + C15791
rxn00382,L-SerineO-sulfate <=> nh4 + pyr + so4,C1504 <=> C12 + C19 + C46
rxn00383,so3 <=> so4,C78 <=> C46
rxn00384,D-Glucose6-sulfate <=> glc-D + so4,C1570 <=> C26 + C46
rxn00391,fmn <=> pi + ribflv,C47 <=> C8 + C211
rxn00392,ribflv <=> fmn,C211 <=> C47
rxn00393,g1p + ribflv <=> glc-D + fmn,C86 + C211 <=> C26 + C47
rxn00394,arg-L <=> orn + urea,C48 <=> C61 + C70
rxn00395,arg-L <=> nh4 + citr-L,C48 <=> C12 + C259
rxn00396,arg-L <=> argp,C48 <=> C3000
rxn00397,nad + arg-L <=> ncam + N(omega)-(ADP-D-ribosyl)-L-arginine,C2 + C48 <=> C129 + C824
rxn00398,arg-L <=> nh4 + oxoarg-L,C48 <=> C12 + C2993
rxn00400,nadph + arg-L <=> nadp + N-(omega)-Hydroxyarginine,C4 + C48 <=> C5 + C2992
rxn00401,arg-L <=> co2 + 4gudbd,C48 <=> C10 + C1686
rxn00402,nad + octp <=> nadh + pyr + arg-L,C2 + C2148 <=> C3 + C19 + C48
rxn00403,nadp + nop <=> nadph + akg + arg-L,C5 + C1041 <=> C4 + C23 + C48
rxn00404,gly + arg-L <=> orn + Glycocyamine,C32 + C48 <=> C61 + C428
rxn00405,arg-L <=> co2 + agm,C48 <=> C10 + C147
rxn00406,arg-L <=> D-Arginine,C48 <=> C549
rxn00411,pyr <=> pep,C19 <=> C58
rxn00415,pyr + gln-L <=> ala-L + 2-Oxoglutaramate,C19 + C50 <=> C34 + C649
rxn00417,gln-L <=> D-Glutamine,C50 <=> C571
rxn00419,nad + ser-L <=> nadh + nh4 + hpyr,C2 + C51 <=> C3 + C12 + C140
rxn00420,pser-L <=> pi + ser-L,C687 <=> C8 + C51
rxn00422,pyr + ser-L <=> ala-L + hpyr,C19 + C51 <=> C34 + C140
rxn00423,accoa + ser-L <=> coa + acser,C21 + C51 <=> C9 + C673
rxn00424,glx + ser-L <=> gly + hpyr,C39 + C51 <=> C32 + C140
rxn00425,ser-L <=> ser-D,C51 <=> C516
rxn00426,ser-L <=> Dehydroalanine,C51 <=> C1306
rxn00430,nad + meoh <=> nadh + fald,C2 + C113 <=> C3 + C52
rxn00432,meoh <=> fald,C113 <=> C52
rxn00433,sarcs <=> gly + fald,C176 <=> C32 + C52
rxn00434,N6-Methyl-L-lysine <=> lys-L + fald,C1523 <=> C38 + C52
rxn00445,"L-Galactono-1,4-lactone <=> ascb",C763 <=> C56
rxn00449,ascb <=> L-xylo-Hexulonolactone,C56 <=> C1788
rxn00451,amet + met-L <=> ahcys + mmet,C16 + C57 <=> C18 + C1730
rxn00452,amet + hcys-L <=> ahcys + met-L,C16 + C131 <=> C18 + C57
rxn00455,fmet <=> for + met-L,C1717 <=> C45 + C57
rxn00457,met-L <=> met-D,C57 <=> C595
rxn00458,met-L <=> co2 + 3-Methylthiopropanamine,C57 <=> C10 + C1812
rxn00459,2pg <=> pep,C455 <=> C58
rxn00460,pyr <=> pep,C19 <=> C58
rxn00461,pi + uaccg <=> uacgam + pep,C8 + C2366 <=> C36 + C58
rxn00462,3pop <=> pep,C1553 <=> C58
rxn00466,nadp + cll_112 <=> nadph + pyr + orn,C5 + C2174 <=> C4 + C19 + C61
rxn00468,"akg + orn <=> glu-L + 3,4-Dihydro-2H-Pyrrole-2-carboxylate",C23 + C61 <=> C22 + C2226
rxn00469,acorn <=> ac + orn,C324 <=> C28 + C61
rxn00470,orn <=> co2 + ptrc,C61 <=> C10 + C115
rxn00471,orn <=> nh4 + pro-L,C61 <=> C12 + C125
rxn00472,orn <=> D-Ornithine,C61 <=> C383
rxn00473,trp-L <=> nh4 + pyr + indole,C62 <=> C12 + C19 + C341
rxn00474,ser-L + indole <=> trp-L,C51 + C341 <=> C62
rxn00475,nad + trp-L <=> nadh + nh4 + indpyr,C2 + C62 <=> C3 + C12 + C262
rxn00476,nadp + trp-L <=> nadph + nh4 + indpyr,C5 + C62 <=> C4 + C12 + C262
rxn00477,trp-L <=> nh4 + indpyr,C62 <=> C12 + C262
rxn00478,trp-L <=> Lfmkynr,C62 <=> C1503
rxn00479,trp-L <=> co2 + iad,C62 <=> C10 + C1502
rxn00480,trp-L <=> co2 + nh4 + 3-Indoleglycolaldehyde,C62 <=> C10 + C12 + C1761
rxn00481,L-Tryptophanamide <=> nh4 + trp-L,C671 <=> C12 + C62
rxn00483,akg + trp-L <=> glu-L + indpyr,C23 + C62 <=> C22 + C262
rxn00484,trp-L <=> co2 + Tryptamine,C62 <=> C10 + C301
rxn00487,nad + phe-L <=> nadh + nh4 + phpyr,C2 + C63 <=> C3 + C12 + C138
rxn00488,phe-L <=> nh4 + phpyr,C63 <=> C12 + C138
rxn00489,phe-L <=> co2 + pad,C63 <=> C10 + C1424
rxn00490,CPD-659 <=> co2 + phe-L,C576 <=> C10 + C63
rxn00491,pyr + phe-L <=> ala-L + phpyr,C19 + C63 <=> C34 + C138
rxn00492,accoa + phe-L <=> coa + N-Acetyl-L-phenylalanine,C21 + C63 <=> C9 + C1878
rxn00493,akg + phe-L <=> glu-L + phpyr,C23 + C63 <=> C22 + C138
rxn00494,asp-L + phpyr <=> oaa + phe-L,C40 + C138 <=> C31 + C63
rxn00495,phe-L <=> nh4 + cinnm,C63 <=> C12 + C315
rxn00496,pad <=> phe-L,C1424 <=> C63
rxn00497,phe-L <=> co2 + peamn,C63 <=> C10 + C2658
rxn00499,nad + lac-L <=> nadh + pyr,C2 + C154 <=> C3 + C19
rxn00500,nad + lac-D <=> nadh + pyr,C2 + C212 <=> C3 + C19
rxn00501,nad + coa + msa <=> nadh + co2 + accoa,C2 + C9 + C183 <=> C3 + C10 + C21
rxn00502,nadp + coa + msa <=> nadph + co2 + accoa,C5 + C9 + C183 <=> C4 + C10 + C21
rxn00505,nad + icit <=> nadh + co2 + akg,C2 + C246 <=> C3 + C10 + C23
rxn00510,nad + saccrp-L <=> nadh + akg + lys-L,C2 + C333 <=> C3 + C23 + C38
rxn00511,nadp + saccrp-L <=> nadph + akg + lys-L,C5 + C333 <=> C4 + C23 + C38
rxn00512,nad + glyclt <=> nadh + glx,C2 + C135 <=> C3 + C39
rxn00513,itp <=> pi + idp,C65 <=> C8 + C87
rxn00515,idp <=> itp,C87 <=> C65
rxn00516,Inosine5'-tetraphosphate <=> pi + itp,C1925 <=> C8 + C65
rxn00517,pyr + itp <=> pep + idp,C19 + C65 <=> C58 + C87
rxn00518,glc-D + itp <=> g6p + idp,C26 + C65 <=> C76 + C87
rxn00519,oaa + itp <=> co2 + pep + idp,C31 + C65 <=> C10 + C58 + C87
rxn00520,coa + succ + itp <=> pi + succoa + idp,C9 + C35 + C65 <=> C8 + C75 + C87
rxn00521,tyr-L <=> nh4 + pyr + PHENOL,C66 <=> C12 + C19 + C123
rxn00522,tyr-L <=> nh4 + 34hpp,C66 <=> C12 + C809
rxn00523,nadph + tyr-L <=> nadp + N-Hydroxy-L-tyrosine,C4 + C66 <=> C5 + C1649
rxn00525,nad + CPD-659 <=> nadh + co2 + tyr-L,C2 + C576 <=> C3 + C10 + C66
rxn00526,nadp + CPD-659 <=> nadph + co2 + tyr-L,C5 + C576 <=> C4 + C10 + C66
rxn00527,akg + tyr-L <=> glu-L + 34hpp,C23 + C66 <=> C22 + C809
rxn00529,tyr-L <=> co2 + tym,C66 <=> C10 + C356
rxn00530,tyr-L <=> nh4 + T4hcinnm,C66 <=> C12 + C565
rxn00531,tyr-L <=> beta-Tyrosine,C66 <=> C2246
rxn00532,nadp + coa + msa <=> nadph + malcoa,C5 + C9 + C183 <=> C4 + C67
rxn00533,accoa + hco3 <=> pi + malcoa,C21 + C231 <=> C8 + C67
rxn00534,accoa + maln <=> ac + malcoa,C21 + C291 <=> C28 + C67
rxn00536,nadp + etoh <=> nadph + acald,C5 + C345 <=> C4 + C68
rxn00537,ppaca <=> pi + acald,C1727 <=> C8 + C68
rxn00538,ethamp <=> pi + nh4 + acald,C269 <=> C8 + C12 + C68
rxn00539,etha <=> nh4 + acald,C157 <=> C12 + C68
rxn00540,pyr + acald <=> 4h2opntn,C19 + C68 <=> C1911
rxn00541,thr-L <=> gly + acald,C156 <=> C32 + C68
rxn00542,lac-L <=> for + acald,C154 <=> C45 + C68
rxn00543,nad + etoh <=> nadh + acald,C2 + C345 <=> C3 + C68
rxn00545,f6p <=> fdp,C69 <=> C274
rxn00546,nad + mnl1p <=> nadh + f6p,C2 + C464 <=> C3 + C69
rxn00547,fru <=> f6p,C79 <=> C69
rxn00549,fdp <=> pi + f6p,C274 <=> C8 + C69
rxn00550,f26bp <=> pi + f6p,C475 <=> C8 + C69
rxn00552,gam6p <=> nh4 + f6p,C272 <=> C12 + C69
rxn00553,udpg + f6p <=> suc6p,C25 + C69 <=> C1460
rxn00554,f6p <=> fdp,C69 <=> C274
rxn00555,gln-L + f6p <=> glu-L + gam6p,C50 + C69 <=> C22 + C272
rxn00556,f6p <=> fdp,C69 <=> C274
rxn00557,itp + f6p <=> idp + fdp,C65 + C69 <=> C87 + C274
rxn00558,g6p <=> f6p,C76 <=> C69
rxn00559,man6p <=> f6p,C224 <=> C69
rxn00560,urea + hco3 <=> pi + allphn,C70 + C231 <=> C8 + C690
rxn00561,Glycocyamine <=> gly + urea,C428 <=> C32 + C70
rxn00562,urdglyc <=> glx + urea,C441 <=> C39 + C70
rxn00563,N-Amidino-L-aspartate <=> asp-L + urea,C1714 <=> C40 + C70
rxn00564,urea <=> Cyanamide,C70 <=> C1001
rxn00565,s <=> so3,C71 <=> C78
rxn00566,cys-L <=> nh4 + pyr + h2s,C81 <=> C12 + C19 + C228
rxn00570,Hydroxylamine <=> no2,C160 <=> C72
rxn00573,acald + no2 <=> Nitroethane,C68 + C72 <=> C1125
rxn00575,sucr <=> glc-D + fru,C73 <=> C26 + C79
rxn00577,pi + sucr <=> fru + g1p,C8 + C73 <=> C79 + C86
rxn00578,suc6p <=> pi + sucr,C1460 <=> C8 + C73
rxn00579,udpg + fru <=> sucr,C25 + C79 <=> C73
rxn00580,fad + sucr <=> fadh2 + 3-Ketosucrose,C14 + C73 <=> C907 + C2884
rxn00581,udpgal + sucr <=> Planteose,C41 + C73 <=> C2025
rxn00582,sucr <=> pala,C73 <=> C1073
rxn00583,nad + cis-Benzeneglycol <=> nadh + catechol,C2 + C2128 <=> C3 + C74
rxn00584,nad + bencisdiol <=> nadh + co2 + catechol,C2 + C3203 <=> C3 + C10 + C74
rxn00585,"nadp + trans-1,2-Dihydrobenzene-1,2-diol <=> nadph + catechol",C5 + C2181 <=> C4 + C74
rxn00586,nadph + PHENOL <=> nadp + catechol,C4 + C123 <=> C5 + C74
rxn00587,catechol <=> 2hmcnsad,C74 <=> C489
rxn00590,nadh + bz <=> nad + co2 + catechol,C3 + C148 <=> C2 + C10 + C74
rxn00591,"nad + 1,2-Dihydroxycyclohexa-3,5-diene-1-carboxylate <=> nadh + co2 + catechol",C2 + C2367 <=> C3 + C10 + C74
rxn00592,23dhb <=> co2 + catechol,C163 <=> C10 + C74
rxn00593,34dhbz <=> co2 + catechol,C188 <=> C10 + C74
rxn00596,amet + catechol <=> ahcys + Guaiacol,C16 + C74 <=> C18 + C970
rxn00598,coa + oxadpcoa <=> accoa + succoa,C9 + C1315 <=> C21 + C75
rxn00599,gly + succoa <=> coa + co2 + 5aop,C32 + C75 <=> C9 + C10 + C320
rxn00600,gly + succoa <=> coa + 2-Amino-3-oxoadipate,C32 + C75 <=> C9 + C2768
rxn00601,arg-L + succoa <=> coa + sucarg,C48 + C75 <=> C9 + C1792
rxn00602,mmcoa-R <=> succoa,C831 <=> C75
rxn00603,nadp + sbt6p <=> nadph + g6p,C5 + C747 <=> C4 + C76
rxn00605,udpg + g6p <=> tre6p,C25 + C76 <=> C493
rxn00606,tre6p <=> glc-D + g6p,C493 <=> C26 + C76
rxn00609,mi1p-D <=> g6p,C808 <=> C76
rxn00610,glyc3p <=> pi + glyc,C77 <=> C8 + C97
rxn00611,nad + glyc3p <=> nadh + dhap,C2 + C77 <=> C3 + C92
rxn00612,nadp + glyc3p <=> nadph + dhap,C5 + C77 <=> C4 + C92
rxn00614,glyc3p <=> dhap,C77 <=> C92
rxn00615,glyc <=> glyc3p,C97 <=> C77
rxn00616,fad + glyc3p <=> dhap + fadh2,C14 + C77 <=> C92 + C907
rxn00617,glc-D + glyc3p <=> g6p + glyc,C26 + C77 <=> C76 + C97
rxn00618,udpgal + glyc3p <=> 2-(alpha-D-Galactosyl)-sn-glycerol3-phosphate,C41 + C77 <=> C2373
rxn00619,"udpgal + glyc3p <=> alpha-D-Galactosyl-(1,1')-sn-glycerol3-phosphate",C41 + C77 <=> C2404
rxn00624,3sala <=> ala-L + so2,C442 <=> C34 + C3930
rxn00627,fru <=> f1p,C79 <=> C746
rxn00629,nad + mnl <=> nadh + fru,C2 + C297 <=> C3 + C79
rxn00630,nadp + mnl <=> nadph + fru,C5 + C297 <=> C4 + C79
rxn00631,nadp + fru <=> nadph + 5-Dehydro-D-fructose,C5 + C79 <=> C4 + C223
rxn00632,beta-D-Fructose2-phosphate <=> pi + fru,C1777 <=> C8 + C79
rxn00633,glc-D + fru <=> g15lac + sbt-D,C26 + C79 <=> C165 + C551
rxn00634,nad + sbt-D <=> nadh + fru,C2 + C551 <=> C3 + C79
rxn00635,itp + fru <=> f6p + idp,C65 + C79 <=> C69 + C87
rxn00636,man <=> fru,C134 <=> C79
rxn00640,pi + gdpmann <=> man1p,C8 + C80 <=> C458
